Supplementary Table,Archive ID,Internal key,Title,Rows,First cited (draft Results),Status
1,X1,X1,What can be combined fairly?,10,Design paragraph: benchmarks analysed as separate strata,cited
2,B1,B1,Original-evaluator acceptance and paired environment difference,7,Section 1: BixBench acceptance (Fig. 2a),cited
3,B10,B10,Task coverage versus within-configuration advantage,2,Section 1: task coverage,cited
4,B11,B11,Tasks with evaluator acceptance in only one condition,2,Section 1: tasks solved in one condition only,cited
5,C1,C1,"Source-reported answer-vector scores, with provenance status",5,Section 1: CompBioBench aggregate vectors (Fig. 2b),cited
6,new (this audit),NEW-proxy,CompBioBench cross-run consensus proxy and its validation against archived aggregate scores,123,"Section 1: consensus proxy, MAE 2.6 (Extended Data Fig. 1c,d)",cited
7,I1,I1,Matched output agreement on the common nine IWC tasks,5,Section 1: IWC agreement (Fig. 2c),cited
8,I2,I2,Continuous replicate dispersion on the same nine tasks,8,Section 1: IWC replicate dispersion,cited
9,I3,I3,"Task-level agreement, zero-scored runs and Galaxy job errors",10,Section 1: IWC per task (Fig. 2d),cited
10,X3,X3,Does the same path instrument reproduce its agreement across benchmarks?,2,Section 1: cross-benchmark tool-set similarity (Extended Data Fig. 2a),cited
11,X19,X19,"Task origin, recorded helper exposure and detected tool use",3,Section 1: non-utility Tool Shed share,cited
12,I4,I4,How much of the environment difference rests on a few runs?,5,Section 1: IWC difference rests on few runs,cited
13,I6,I6,Score provenance that changes an IWC conclusion,4,Section 1: IWC score provenance,cited
14,new (this audit),NEW-ledger,Failure ledger: every rejected BixBench run and every IWC run scoring below 0.5,254,"Section 1: ""Supplementary failure ledger"" (Fig. 2e)",cited
15,B12,B12,Model dependence of the exclusive open-ended-code success,5,Section 1: bix-45-q1 model dependence (Extended Data Fig. 2b),cited
16,B13,B13,Why bix-45-q1 differs: a version contrast retained within one original run,4,Section 1: bix-45-q1 version contrast (Extended Data Fig. 2b),cited
17,B8,B8,Evaluator-mode composition and acceptance,6,"Section 1: verifier modes, bix-43-q2 (Extended Data Fig. 2c)",cited
18,I5,I5,Completion is not correctness: every run scoring below 0.5,8,Section 1: IWC runs below 0.5 (Extended Data Fig. 2d),cited
19,C4,C4,"Biological domain, answer convergence and operational burden",8,Section 2: biological domains,cited
20,X14,X14,Workbench capabilities visibly exercised by agents,6,Section 2: workbench operations (Fig. 3a),cited
21,B9,B9,Most frequently recorded Galaxy operations,6,Section 2: top BixBench operations (Fig. 3b),cited
22,C8,C8,Most frequently recorded Galaxy operations,6,Section 2: top CompBioBench operations (Fig. 3b),cited
23,I10,I10,Most frequently recorded Galaxy operations,6,Section 2: top IWC operations (Fig. 3b),cited
24,X12,X12,"User-defined tools: explicit requests, tasks reached and linked execution",16,Section 2: UDT requests and linked execution (Fig. 3c),cited
25,X13,X13,Are user-defined tool choices stable across repeat executions?,16,Section 2: UDT choice across replicates,cited
26,X15,X15,Why choose a user-defined tool? Distinguishing capability gaps from interface friction,4,Section 2: why UDTs were chosen,cited
27,I11,I11,Observed helper exposure and Tool Shed use in IWC,5,Section 2: IWC helper exposure,cited
28,new (this audit),NEW-udt,Reliability of the user-defined tool route,29,Section 2: UDT reliability (Extended Data Fig. 3a),cited
29,B4,B4,"Galaxy execution, missing evidence and recovery candidates",10,Section 2: BixBench execution evidence,cited
30,C3,C3,Galaxy execution and recovery evidence,10,Section 2: CompBioBench execution evidence,cited
31,I7,I7,"Galaxy execution, missing evidence and recovery candidates",10,Section 2: IWC execution evidence,cited
32,X18,X18,Specific recurring diagnostics and the mechanisms they suggest,17,Section 2: recurring diagnostics (Fig. 3d),cited
33,X5,X5,Which operational error messages are observable?,10,Section 2: observable error messages (stderr retention),cited
34,new (this audit),NEW-taxonomy,Classification of every failed Galaxy MCP call (A1–A8 before a job exists; B1–B5 after job creation),19,Section 2: A1–A8/B1–B5 taxonomy (Extended Data Fig. 3b); currently cited as X5,cited
35,X10,X10,"Environment comparison using a shared, limited operational marker",3,Section 2: shell-exit marker,cited
36,C7,C7,Adjudicated examples: correction versus changed objective,2,Section 2: adjudicated recovery examples,cited
